#Measurements of the EE power spectrum, power is l(l+1) C_l / 2pi in uK^2
#
   Experiment      ,    l_min ,  l_center ,     l_max ,       Power  ,  Sigma_minus ,   Sigma_plus ,    Upper Limit
POLARBEAR_2020     ,          ,    1075.2 ,           ,      26.9200 ,       2.0000 ,       2.0000 ,             
POLARBEAR_2020     ,          ,    1125.2 ,           ,      16.6700 ,       1.7200 ,       1.7200 ,             
POLARBEAR_2020     ,          ,    1175.1 ,           ,      10.8900 ,       1.6500 ,       1.6500 ,             
POLARBEAR_2020     ,          ,    1225.2 ,           ,      23.0200 ,       2.1600 ,       2.1600 ,             
POLARBEAR_2020     ,          ,    1275.1 ,           ,      31.0900 ,       2.5500 ,       2.5500 ,             
POLARBEAR_2020     ,          ,    1350.6 ,           ,      30.7100 ,       1.9300 ,       1.9300 ,             
POLARBEAR_2020     ,          ,    1450.6 ,           ,      15.8800 ,       1.8400 ,       1.8400 ,             
POLARBEAR_2020     ,          ,    1550.6 ,           ,      15.5600 ,       2.1100 ,       2.1100 ,             
POLARBEAR_2020     ,          ,    1650.5 ,           ,      18.9800 ,       2.5400 ,       2.5400 ,             
POLARBEAR_2020     ,          ,    1750.5 ,           ,       7.7400 ,       2.6500 ,       2.6500 ,             
POLARBEAR_2020     ,          ,    1901.8 ,           ,      11.0600 ,       2.4000 ,       2.4000 ,             
POLARBEAR_2020     ,          ,    2101.6 ,           ,       6.6200 ,       3.2700 ,       3.2700 ,             
POLARBEAR_2020     ,          ,    2353.2 ,           ,       5.0800 ,       4.0800 ,       4.0800 ,             
POLARBEAR_2020     ,          ,    2757.6 ,           ,       3.6200 ,       6.4700 ,       6.4700 ,             
SPTpol_2017        ,          ,      75.8 ,           ,       0.4000 ,       0.1000 ,       0.1000 ,             
SPTpol_2017        ,          ,     124.8 ,           ,       1.0000 ,       0.2000 ,       0.2000 ,             
SPTpol_2017        ,          ,     174.7 ,           ,       0.7000 ,       0.1000 ,       0.1000 ,             
SPTpol_2017        ,          ,     224.6 ,           ,       0.7000 ,       0.2000 ,       0.2000 ,             
SPTpol_2017        ,          ,     274.6 ,           ,       4.4000 ,       0.5000 ,       0.5000 ,             
SPTpol_2017        ,          ,     324.5 ,           ,      15.3000 ,       1.2000 ,       1.2000 ,             
SPTpol_2017        ,          ,     374.5 ,           ,      20.9000 ,       1.6000 ,       1.6000 ,             
SPTpol_2017        ,          ,     424.5 ,           ,      16.8000 ,       1.4000 ,       1.4000 ,             
SPTpol_2017        ,          ,     474.5 ,           ,      11.1000 ,       0.8000 ,       0.8000 ,             
SPTpol_2017        ,          ,     524.4 ,           ,       7.1000 ,       0.5000 ,       0.5000 ,             
SPTpol_2017        ,          ,     574.6 ,           ,      12.2000 ,       0.9000 ,       0.9000 ,             
SPTpol_2017        ,          ,     624.5 ,           ,      29.9000 ,       1.7000 ,       1.7000 ,             
SPTpol_2017        ,          ,     674.5 ,           ,      38.2000 ,       2.2000 ,       2.2000 ,             
SPTpol_2017        ,          ,     724.5 ,           ,      33.7000 ,       1.8000 ,       1.8000 ,             
SPTpol_2017        ,          ,     774.5 ,           ,      20.4000 ,       1.1000 ,       1.1000 ,             
SPTpol_2017        ,          ,     824.4 ,           ,      11.7000 ,       0.7000 ,       0.7000 ,             
SPTpol_2017        ,          ,     874.5 ,           ,      18.4000 ,       0.9000 ,       0.9000 ,             
SPTpol_2017        ,          ,     924.5 ,           ,      28.2000 ,       1.7000 ,       1.7000 ,             
SPTpol_2017        ,          ,     974.5 ,           ,      39.8000 ,       1.8000 ,       1.8000 ,             
SPTpol_2017        ,          ,    1024.5 ,           ,      36.3000 ,       1.8000 ,       1.8000 ,             
SPTpol_2017        ,          ,    1074.5 ,           ,      25.4000 ,       1.3000 ,       1.3000 ,             
SPTpol_2017        ,          ,    1124.4 ,           ,      13.8000 ,       0.8000 ,       0.8000 ,             
SPTpol_2017        ,          ,    1174.4 ,           ,      13.0000 ,       0.6000 ,       0.6000 ,             
SPTpol_2017        ,          ,    1224.5 ,           ,      20.5000 ,       1.0000 ,       1.0000 ,             
SPTpol_2017        ,          ,    1274.5 ,           ,      29.0000 ,       1.3000 ,       1.3000 ,             
SPTpol_2017        ,          ,    1324.5 ,           ,      30.0000 ,       1.3000 ,       1.3000 ,             
SPTpol_2017        ,          ,    1374.5 ,           ,      22.5000 ,       1.0000 ,       1.0000 ,             
SPTpol_2017        ,          ,    1424.5 ,           ,      12.5000 ,       0.6000 ,       0.6000 ,             
SPTpol_2017        ,          ,    1474.5 ,           ,      10.2000 ,       0.6000 ,       0.6000 ,             
SPTpol_2017        ,          ,    1524.5 ,           ,      15.0000 ,       0.7000 ,       0.7000 ,             
SPTpol_2017        ,          ,    1574.5 ,           ,      19.2000 ,       0.8000 ,       0.8000 ,             
SPTpol_2017        ,          ,    1624.4 ,           ,      21.3000 ,       0.8000 ,       0.8000 ,             
SPTpol_2017        ,          ,    1674.4 ,           ,      15.2000 ,       0.7000 ,       0.7000 ,             
SPTpol_2017        ,          ,    1724.4 ,           ,      11.1000 ,       0.6000 ,       0.6000 ,             
SPTpol_2017        ,          ,    1774.5 ,           ,       7.3000 ,       0.5000 ,       0.5000 ,             
SPTpol_2017        ,          ,    1824.5 ,           ,       8.4000 ,       0.5000 ,       0.5000 ,             
SPTpol_2017        ,          ,    1874.5 ,           ,       9.8000 ,       0.5000 ,       0.5000 ,             
SPTpol_2017        ,          ,    1924.5 ,           ,      11.3000 ,       0.6000 ,       0.6000 ,             
SPTpol_2017        ,          ,    1974.5 ,           ,      10.9000 ,       0.5000 ,       0.5000 ,             
SPTpol_2017        ,          ,    2049.5 ,           ,       6.7000 ,       0.3000 ,       0.3000 ,             
SPTpol_2017        ,          ,    2149.5 ,           ,       5.2000 ,       0.3000 ,       0.3000 ,             
SPTpol_2017        ,          ,    2249.5 ,           ,       5.9000 ,       0.3000 ,       0.3000 ,             
SPTpol_2017        ,          ,    2349.5 ,           ,       4.1000 ,       0.3000 ,       0.3000 ,             
SPTpol_2017        ,          ,    2449.5 ,           ,       2.8000 ,       0.2000 ,       0.2000 ,             
SPTpol_2017        ,          ,    2549.5 ,           ,       3.0000 ,       0.3000 ,       0.3000 ,             
SPTpol_2017        ,          ,    2649.5 ,           ,       1.8000 ,       0.3000 ,       0.3000 ,             
SPTpol_2017        ,          ,    2749.5 ,           ,       1.6000 ,       0.3000 ,       0.3000 ,             
SPTpol_2017        ,          ,    2849.5 ,           ,       1.5000 ,       0.3000 ,       0.3000 ,             
SPTpol_2017        ,          ,    2949.5 ,           ,       0.9000 ,       0.3000 ,       0.3000 ,             
SPTpol_2017        ,          ,    3249.5 ,           ,       0.4000 ,       0.2000 ,       0.2000 ,             
SPTpol_2017        ,          ,    3749.5 ,           ,       0.2000 ,       0.3000 ,       0.3000 ,             
SPTpol_2017        ,          ,    4249.5 ,           ,      -0.1000 ,       0.3000 ,       0.3000 ,             
SPTpol_2017        ,          ,    4749.5 ,           ,       0.0000 ,       0.5000 ,       0.5000 ,             
SPTpol_2017        ,          ,    5499.5 ,           ,      -0.7000 ,       0.5000 ,       0.5000 ,             
SPTpol_2017        ,          ,    6499.5 ,           ,       2.6000 ,       1.0000 ,       1.0000 ,             
SPTpol_2017        ,          ,    7499.5 ,           ,      -1.0000 ,       1.8000 ,       1.8000 ,             
SPT-3G_2021        ,          ,     325.0 ,           ,      14.1000 ,       1.0000 ,       1.0000 ,             
SPT-3G_2021        ,          ,     375.0 ,           ,      20.4000 ,       1.2000 ,       1.2000 ,             
SPT-3G_2021        ,          ,     425.0 ,           ,      19.0000 ,       1.1000 ,       1.1000 ,             
